,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
11417,2000-06,New Jersey,0.0,,1414.0,1464.0,,46,10.0,,,,,,,,,,,,,,,,,,2934
11418,2000-06,New Mexico,0.0,,2389.0,3538.0,,113,0.0,,,,,,,,,,,,,,,,,,6040
11419,2000-06,New York,4105.0,,707.0,4674.0,,8,33.0,,,,,,,,,,,,,,,,,,9527
11420,2000-06,North Carolina,7693.0,,1400.0,8650.0,,96,0.0,,,,,,,,,,,,,,,,,,17839
11421,2000-06,North Dakota,244.0,,327.0,1385.0,,17,0.0,,,,,,,,,,,,,,,,,,1973
11422,2000-06,Ohio,0.0,,6704.0,8657.0,,369,0.0,,,,,,,,,,,,,,,,,,15730
11423,2000-06,Oklahoma,0.0,,4044.0,6054.0,,273,0.0,,,,,,,,,,,,,,,,,,10371
11424,2000-06,Oregon,0.0,,3781.0,5410.0,,184,0.0,,,,,,,,,,,,,,,,,,9375
11425,2000-06,Pennsylvania,324.0,,7.0,30338.0,,773,0.0,,,,,,,,,,,,,,,,,,31442
11426,2000-06,Puerto Rico,0.0,,361.0,89.0,,4,0.0,,,,,,,,,,,,,,,,,,454
11427,2000-06,Rhode Island,0.0,,355.0,273.0,,54,0.0,,,,,,,,,,,,,,,,,,682
11428,2000-06,South Carolina,491.0,,3557.0,3342.0,,93,0.0,,,,,,,,,,,,,,,,,,7483
11429,2000-06,South Dakota,0.0,,417.0,1457.0,,31,0.0,,,,,,,,,,,,,,,,,,1905
11430,2000-06,Tennessee,0.0,,6777.0,5604.0,,215,0.0,,,,,,,,,,,,,,,,,,12596
11431,2000-06,Texas,6005.0,,14721.0,20585.0,,732,0.0,,,,,,,,,,,,,,,,,,42043
11432,2000-06,Utah,0.0,,1487.0,2433.0,,44,0.0,,,,,,,,,,,,,,,,,,3964
11433,2000-06,Vermont,0.0,,435.0,690.0,,4,1.0,,,,,,,,,,,,,,,,,,1130
11434,2000-06,Virgin Islands,0.0,,0.0,0.0,,0,0.0,,,,,,,,,,,,,,,,,,0
11435,2000-06,Virginia,0.0,,5088.0,5883.0,,158,0.0,,,,,,,,,,,,,,,,,,11129
11436,2000-06,Washington,1083.0,,2539.0,5128.0,,138,22.0,,,,,,,,,,,,,,,,,,8910
11437,2000-06,West Virginia,0.0,,2802.0,4452.0,,143,0.0,,,,,,,,,,,,,,,,,,7397
11438,2000-06,Wisconsin,0.0,,2772.0,6379.0,,9,0.0,,,,,,,,,,,,,,,,,,9160
11439,2000-06,Wyoming,206.0,,767.0,1325.0,,41,0.0,,,,,,,,,,,,,,,,,,2339
11440,2000-05,Alabama,0.0,,5681.0,5940.0,,211,0.0,,,,,,,,,,,,,,,,,,11832
11441,2000-05,Alaska,0.0,,983.0,2015.0,,71,0.0,,,,,,,,,,,,,,,,,,3069
11442,2000-05,Arizona,703.0,,5115.0,4040.0,,232,692.0,,,,,,,,,,,,,,,,,,10782
11443,2000-05,Arkansas,588.0,,3314.0,5383.0,,177,0.0,,,,,,,,,,,,,,,,,,9462
11444,2000-05,California,17746.0,,23637.0,21526.0,,0,0.0,,,,,,,,,,,,,,,,,,62909
11445,2000-05,Colorado,0.0,,7646.0,9195.0,,821,8.0,,,,,,,,,,,,,,,,,,17670
11446,2000-05,Connecticut,6927.0,,0.0,0.0,,0,5.0,,,,,,,,,,,,,,,,,,6932
11447,2000-05,Delaware,0.0,,398.0,458.0,,14,0.0,,,,,,,,,,,,,,,,,,870
11448,2000-05,District of Columbia,0.0,,2.0,0.0,,0,0.0,,,,,,,,,,,,,,,,,,2
11449,2000-05,Florida,0.0,,9593.0,6685.0,,332,1817.0,,,,,,,,,,,,,,,,,,18427
11450,2000-05,Georgia,3299.0,,5843.0,4990.0,,204,5221.0,,,,,,,,,,,,,,,,,,19557
11451,2000-05,Guam,0.0,,9.0,7.0,,2,0.0,,,,,,,,,,,,,,,,,,18
11452,2000-05,Hawaii,452.0,,0.0,0.0,,0,0.0,,,,,,,,,,,,,,,,,,452
11453,2000-05,Idaho,0.0,,1563.0,2908.0,,97,710.0,,,,,,,,,,,,,,,,,,5278
11454,2000-05,Illinois,20771.0,,4626.0,5124.0,,143,0.0,,,,,,,,,,,,,,,,,,30664
11455,2000-05,Indiana,6772.0,,1763.0,2698.0,,5,0.0,,,,,,,,,,,,,,,,,,11238
11456,2000-05,Iowa,2628.0,,29.0,1511.0,,4,7.0,,,,,,,,,,,,,,,,,,4179
11457,2000-05,Kansas,0.0,,2182.0,3157.0,,154,0.0,,,,,,,,,,,,,,,,,,5493
11458,2000-05,Kentucky,0.0,,5982.0,6622.0,,309,0.0,,,,,,,,,,,,,,,,,,12913
11459,2000-05,Louisiana,2.0,,4323.0,4558.0,,183,0.0,,,,,,,,,,,,,,,,,,9066
11460,2000-05,Maine,0.0,,922.0,1466.0,,46,0.0,,,,,,,,,,,,,,,,,,2434
11461,2000-05,Mariana Islands,0.0,,1.0,1.0,,0,0.0,,,,,,,,,,,,,,,,,,2
11462,2000-05,Maryland,3052.0,,143.0,2300.0,,13,0.0,,,,,,,,,,,,,,,,,,5508
11463,2000-05,Massachusetts,871.0,,948.0,614.0,,19,221.0,,,,,,,,,,,,,,,,,,2673
11464,2000-05,Michigan,9575.0,,73.0,8599.0,,3,0.0,,,,,,,,,,,,,,,,,,18250
11465,2000-05,Minnesota,2400.0,,2243.0,5585.0,,89,0.0,,,,,,,,,,,,,,,,,,10317
11466,2000-05,Mississippi,0.0,,4141.0,4206.0,,111,0.0,,,,,,,,,,,,,,,,,,8458
